Tool,Mode,File,Peak memory used,Runtime,Status,Input reads (mapped),Iteration
bam_readcount,plp,DRR793869_hg38.bam,0.009422302,28800.10793,Terminated,3666042016,0
para_mpileup 12 threads,plp,DRR793869_hg38.bam,2.263206482,4349.266102,Completed,3666042016,0
para_mpileup 12 threads,plp,DRR793869_hg38.bam,2.263256073,4553.020441,Completed,3666042016,1
para_mpileup 12 threads,plp,DRR793869_hg38.bam,2.264774323,4903.579344,Completed,3666042016,2
para_mpileup 4 threads,plp,DRR793869_hg38.bam,2.092559814,6808.586675,Completed,3666042016,0
para_mpileup 4 threads,plp,DRR793869_hg38.bam,2.069568634,6814.240028,Completed,3666042016,1
para_mpileup 4 threads,plp,DRR793869_hg38.bam,2.088035583,6809.414445,Completed,3666042016,2
para_mpileup 8 threads,plp,DRR793869_hg38.bam,2.091438293,5114.310819,Completed,3666042016,0
para_mpileup 8 threads,plp,DRR793869_hg38.bam,2.086490631,5158.027896,Completed,3666042016,1
para_mpileup 8 threads,plp,DRR793869_hg38.bam,2.078620911,5162.889392,Completed,3666042016,2
perbase base-depth 1 threads,plp,DRR793869_hg38.bam,7.680847168,10715.88481,Completed,3666042016,0
perbase base-depth 1 threads,plp,DRR793869_hg38.bam,7.734909058,10866.84495,Completed,3666042016,1
perbase base-depth 1 threads,plp,DRR793869_hg38.bam,7.516819,10859.01725,Completed,3666042016,2
perbase base-depth 1 threads -c50000,plp,DRR793869_hg38.bam,7.242008209,11590.39548,Completed,3666042016,0
perbase base-depth 1 threads -c50000,plp,DRR793869_hg38.bam,7.233722687,11883.76173,Completed,3666042016,1
perbase base-depth 1 threads -c50000,plp,DRR793869_hg38.bam,7.252563477,11588.31017,Completed,3666042016,2
perbase base-depth 12 threads,plp,DRR793869_hg38.bam,15.6024971,3682.888788,Completed,3666042016,0
perbase base-depth 12 threads,plp,DRR793869_hg38.bam,15.89255905,3752.772035,Completed,3666042016,1
perbase base-depth 12 threads,plp,DRR793869_hg38.bam,16.16366196,3703.73622,Completed,3666042016,2
perbase base-depth 12 threads -c50000,plp,DRR793869_hg38.bam,11.22089767,3639.99859,Completed,3666042016,0
perbase base-depth 12 threads -c50000,plp,DRR793869_hg38.bam,11.20219803,3658.558676,Completed,3666042016,0
perbase base-depth 12 threads -c50000,plp,DRR793869_hg38.bam,11.54357529,3675.479068,Completed,3666042016,1
perbase base-depth 4 threads,plp,DRR793869_hg38.bam,7.984539032,7033.603826,Completed,3666042016,0
perbase base-depth 4 threads,plp,DRR793869_hg38.bam,7.92861557,7016.888049,Completed,3666042016,1
perbase base-depth 4 threads,plp,DRR793869_hg38.bam,8.008281708,7083.577578,Completed,3666042016,2
perbase base-depth 4 threads -c50000,plp,DRR793869_hg38.bam,7.565502167,7470.849324,Completed,3666042016,0
perbase base-depth 4 threads -c50000,plp,DRR793869_hg38.bam,7.721885681,7704.531673,Completed,3666042016,1
perbase base-depth 4 threads -c50000,plp,DRR793869_hg38.bam,7.543792725,7678.812877,Completed,3666042016,2
perbase base-depth 8 threads,plp,DRR793869_hg38.bam,12.53820801,4050.088046,Completed,3666042016,0
perbase base-depth 8 threads,plp,DRR793869_hg38.bam,12.55699539,4292.006264,Completed,3666042016,1
perbase base-depth 8 threads,plp,DRR793869_hg38.bam,12.45860291,4082.704012,Completed,3666042016,2
perbase base-depth 8 threads -c50000,plp,DRR793869_hg38.bam,9.736354828,4172.650769,Completed,3666042016,0
perbase base-depth 8 threads -c50000,plp,DRR793869_hg38.bam,10.02243805,4320.198355,Completed,3666042016,1
perbase base-depth 8 threads -c50000,plp,DRR793869_hg38.bam,10.20182037,4199.010324,Completed,3666042016,2
pileuphi 1 threads,histo,DRR793869_hg38.bam,3.246501923,13505.42845,Completed,3666042016,0
pileuphi 1 threads,histo,DRR793869_hg38.bam,3.259456635,12982.63073,Completed,3666042016,1
pileuphi 1 threads,histo,DRR793869_hg38.bam,3.295379639,13148.544,Completed,3666042016,2
pileuphi 1 threads,plp,DRR793869_hg38.bam,3.306957245,15567.64579,Completed,3666042016,0
pileuphi 1 threads,plp,DRR793869_hg38.bam,3.326431274,15625.53773,Completed,3666042016,1
pileuphi 1 threads,plp,DRR793869_hg38.bam,3.334144592,15859.10872,Completed,3666042016,2
pileuphi 12 threads,histo,DRR793869_hg38.bam,3.757667542,2113.875169,Completed,3666042016,0
pileuphi 12 threads,histo,DRR793869_hg38.bam,3.783626556,2117.373943,Completed,3666042016,1
