Tool,Mode,File,Peak memory used,Runtime,Status,Input reads (mapped),Iteration
para_mpileup 1 threads,plp,DRR793869_hg38.bam,2.079811096,18361.16327,Completed,3666042016,0
para_mpileup 1 threads,plp,DRR793869_hg38.bam,1.96918869,18383.72113,Completed,3666042016,1
para_mpileup 1 threads,plp,DRR793869_hg38.bam,2.08203125,18382.38161,Completed,3666042016,2
para_mpileup 12 threads,plp,DRR793869_hg38.bam,2.263206482,4349.266102,Completed,3666042016,0
para_mpileup 12 threads,plp,DRR793869_hg38.bam,2.263256073,4553.020441,Completed,3666042016,1
para_mpileup 12 threads,plp,DRR793869_hg38.bam,2.264774323,4903.579344,Completed,3666042016,2
para_mpileup 4 threads,plp,DRR793869_hg38.bam,2.092559814,6808.586675,Completed,3666042016,0
para_mpileup 4 threads,plp,DRR793869_hg38.bam,2.069568634,6814.240028,Completed,3666042016,1
para_mpileup 4 threads,plp,DRR793869_hg38.bam,2.088035583,6809.414445,Completed,3666042016,2
para_mpileup 8 threads,plp,DRR793869_hg38.bam,2.091438293,5114.310819,Completed,3666042016,0
para_mpileup 8 threads,plp,DRR793869_hg38.bam,2.086490631,5158.027896,Completed,3666042016,1
para_mpileup 8 threads,plp,DRR793869_hg38.bam,2.078620911,5162.889392,Completed,3666042016,2
perbase base-depth 1 threads,plp,DRR793869_hg38.bam,7.478786469,11012.82787,Completed,3666042016,0
perbase base-depth 1 threads,plp,DRR793869_hg38.bam,8.610774994,11004.24134,Completed,3666042016,1
perbase base-depth 1 threads,plp,DRR793869_hg38.bam,8.097759247,11086.15542,Completed,3666042016,2
perbase base-depth 12 threads,plp,DRR793869_hg38.bam,16.38132095,3686.24426,Completed,3666042016,0
perbase base-depth 12 threads,plp,DRR793869_hg38.bam,17.67858887,3696.222389,Completed,3666042016,1
perbase base-depth 12 threads,plp,DRR793869_hg38.bam,17.69044495,3744.302887,Completed,3666042016,2
perbase base-depth 4 threads,plp,DRR793869_hg38.bam,8.12550354,7029.696208,Completed,3666042016,0
perbase base-depth 4 threads,plp,DRR793869_hg38.bam,9.636428833,7033.076379,Completed,3666042016,1
perbase base-depth 4 threads,plp,DRR793869_hg38.bam,8.019603729,7054.873852,Completed,3666042016,2
perbase base-depth 8 threads,plp,DRR793869_hg38.bam,13.14140701,4071.77386,Completed,3666042016,0
perbase base-depth 8 threads,plp,DRR793869_hg38.bam,12.10611343,4066.474824,Completed,3666042016,1
perbase base-depth 8 threads,plp,DRR793869_hg38.bam,11.65723801,4090.176004,Completed,3666042016,2
samtools mpileup,plp,DRR793869_hg38.bam,2.061325073,17397.52433,Completed,3666042016,0
samtools mpileup,plp,DRR793869_hg38.bam,2.063037872,16752.80622,Completed,3666042016,1
