Tool,File,Threads,Hash,Command
pileuphi 1 threads,DRR793869_hg38.bam,1,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4,pileuphi plp -d 0 -q 0 -Q 13 --ff 1796 DRR793869_hg38.bam -t 1
pileuphi 4 threads,DRR793869_hg38.bam,4,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4,pileuphi plp -d 0 -q 0 -Q 13 --ff 1796 DRR793869_hg38.bam -t 4
pileuphi 8 threads,DRR793869_hg38.bam,8,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4,pileuphi plp -d 0 -q 0 -Q 13 --ff 1796 DRR793869_hg38.bam -t 8
pileuphi 12 threads,DRR793869_hg38.bam,12,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4,pileuphi plp -d 0 -q 0 -Q 13 --ff 1796 DRR793869_hg38.bam -t 12
sambamba 1 threads,DRR793869_hg38.bam,1,f77883ea6e591f993dc579637df56e08f5be9546b00121c9f64f8631fc05a8fe,sambamba mpileup -t 1 DRR793869_hg38.bam --samtools -d 0 -q 0 -Q 13 --ff 1796
sambamba 4 threads,DRR793869_hg38.bam,4,f77883ea6e591f993dc579637df56e08f5be9546b00121c9f64f8631fc05a8fe,sambamba mpileup -t 4 DRR793869_hg38.bam --samtools -d 0 -q 0 -Q 13 --ff 1796
sambamba 8 threads,DRR793869_hg38.bam,8,f77883ea6e591f993dc579637df56e08f5be9546b00121c9f64f8631fc05a8fe,sambamba mpileup -t 8 DRR793869_hg38.bam --samtools -d 0 -q 0 -Q 13 --ff 1796
sambamba 12 threads,DRR793869_hg38.bam,12,f77883ea6e591f993dc579637df56e08f5be9546b00121c9f64f8631fc05a8fe,sambamba mpileup -t 12 DRR793869_hg38.bam --samtools -d 0 -q 0 -Q 13 --ff 1796
samtools mpileup 1 threads,DRR793869_hg38.bam,1,a3ede4677699330820e08f9b0ee8daad780482144a5757e308b625333a0b35d4,samtools mpileup-d 0 -q 0 -Q 13 --ff 1796 DRR793869_hg38.bam
pileuphi 1 threads,ERR2756169_merged.bam,1,400d0e12d9665a9c35ddab0f18c9b7095d805e24efca48014380b88cc84a8293,pileuphi plp -d 0 -q 0 -Q 13 --ff 1796 ERR2756169_merged.bam -t 1
