Tool,File,Threads,Hash
pileuphi 1 threads,ERR2756166_merged.bam,1,0894901d358a7797ea9dec0b9d4d09f7ab8db181ff86ff080f52f690c171f061  outputs/pileuphi 1 threads_ERR2756166_merged.bam_run_01_23_2026_13:33:56
pileuphi 12 threads,ERR2756166_merged.bam,12,0894901d358a7797ea9dec0b9d4d09f7ab8db181ff86ff080f52f690c171f061  outputs/pileuphi 12 threads_ERR2756166_merged.bam_run_02_02_2026_09:00:01
pileuphi 4 threads,ERR2756166_merged.bam,4,0894901d358a7797ea9dec0b9d4d09f7ab8db181ff86ff080f52f690c171f061  outputs/pileuphi 4 threads_ERR2756166_merged.bam_run_02_02_2026_09:00:01
pileuphi 8 threads,ERR2756166_merged.bam,8,0894901d358a7797ea9dec0b9d4d09f7ab8db181ff86ff080f52f690c171f061  outputs/pileuphi 8 threads_ERR2756166_merged.bam_run_02_02_2026_09:00:01
samtools mpileup,ERR2756166_merged.bam,1,0894901d358a7797ea9dec0b9d4d09f7ab8db181ff86ff080f52f690c171f061  outputs/samtools mpileup_ERR2756166_merged.bam_run_01_19_2026_20:45:08
pileuphi 1 threads,ERR2756169_merged.bam,1,400d0e12d9665a9c35ddab0f18c9b7095d805e24efca48014380b88cc84a8293  outputs/pileuphi 1 threads_ERR2756169_merged.bam_run_01_23_2026_13:33:56
pileuphi 12 threads,ERR2756169_merged.bam,12,400d0e12d9665a9c35ddab0f18c9b7095d805e24efca48014380b88cc84a8293  outputs/pileuphi 12 threads_ERR2756169_merged.bam_run_02_02_2026_09:00:01
pileuphi 4 threads,ERR2756169_merged.bam,4,400d0e12d9665a9c35ddab0f18c9b7095d805e24efca48014380b88cc84a8293  outputs/pileuphi 4 threads_ERR2756169_merged.bam_run_02_02_2026_09:00:01
pileuphi 8 threads,ERR2756169_merged.bam,8,400d0e12d9665a9c35ddab0f18c9b7095d805e24efca48014380b88cc84a8293  outputs/pileuphi 8 threads_ERR2756169_merged.bam_run_02_02_2026_09:00:01
samtools mpileup,ERR2756169_merged.bam,1,400d0e12d9665a9c35ddab0f18c9b7095d805e24efca48014380b88cc84a8293  outputs/samtools mpileup_ERR2756169_merged.bam_run_01_19_2026_20:45:08
samtools mpileup,SRR19895870.bam,1,5b5b34b6b59315968b71724f1148081e815898c04a4a2dd3f05374e9ac031e4c  outputs/samtools mpileup_SRR19895870.bam_run_02_27_2026_08:45:23
pileuphi 1 threads,SRR19895870.bam,1,5b5b34b6b59315968b71724f1148081e815898c04a4a2dd3f05374e9ac031e4c  outputs/pileuphi 1 threads_SRR19895870.bam_run_02_27_2026_08:45:23
pileuphi 4 threads,SRR19895870.bam,4,5b5b34b6b59315968b71724f1148081e815898c04a4a2dd3f05374e9ac031e4c  outputs/pileuphi 4 threads_SRR19895870.bam_run_02_27_2026_08:45:23
pileuphi 8 threads,SRR19895870.bam,8,5b5b34b6b59315968b71724f1148081e815898c04a4a2dd3f05374e9ac031e4c  outputs/pileuphi 8 threads_SRR19895870.bam_run_02_27_2026_08:45:23
pileuphi 12 threads,SRR19895870.bam,12,5b5b34b6b59315968b71724f1148081e815898c04a4a2dd3f05374e9ac031e4c  outputs/pileuphi 12 threads_SRR19895870.bam_run_02_27_2026_08:45:23
pileuphi 1 threads,SRR30646148_hg38.bam,1,82d22d17593c741f8b57fe69d374cc802d4f6b18b6d5836adb34dbd908daac5a  outputs/pileuphi 1 threads_SRR30646148_hg38.bam_run_01_23_2026_12:06:33
